MO0111,Termostato W1209,15,$99.00
MO0112,ESP8266 con relevador 10A,18,$490.00
MO0113,ESP8266 con relevador,9,$422.50
MO0114,Tarjeta de audio para rasberry,0,$900.00
MO0115,"Tarjeta control servomotores, 32 canales",0,$949.00
MO0116,"Magnometro MAG3110, brujula",13,$160.00
MO0117,"PWM 5A , 3v - 35v, control de velocidad, dimmer",23,$125.00
MO0118,Tarjeta de desarrollo STM8S STM8S105K4T6,117,$135.00
MO0119,Controlador motor a pasos DRV8825,31,$85.00
MO0120,Tarjeta bluetooth stereo XS3868 OVC3860,0,$179.00
MO0121,"Sensor de presi형n atmosferica, humedad y temperatura BME280",1,$200.00
MO0122,Detector de lineas 5 canales,40,$300.00
MO0123,Modulo fotoresistencia,18,$39.00
MO0125,Modulo wifi ESP07,1,$149.00
MO0127,Placa con relevador y configuraci형n de encendido 999 minutos,0,$249.00
MO0129,Monitor de frecuencia cardiaca,15,$399.00
MO0130,ML8511 sensor de luz ultravioleta,0,$199.00
MO0131,Ox헴metro de pulso integrado y sensor de frecuencia cardiaca,15,$199.00
MO0133,Tarjeta de puertos de expansion i2c,2,$399.00
MO0134,Controlador PWM 15A 6v - 90V motor,23,$299.00
MO0135,"Convertidor RS232, max3232",0,$39.00
MO0136,Sensor capacitivo de un canal TTP223,126,$19.00
MO0137,Switch de 5 posiciones,31,$69.00
MO0142,Decodificador MT8870 de telefono,2,$119.00
MO0146,"Amplificador De Audio Clase D Pam8403 6 W, 2.2-5 V","1,576.00",$22.00
MO0147,Modulo de 2 relevadores con adaptador XBEE,4,$399.00
MO0148,"Amplificador De Audio Clase D Pam8403 6 W, 2.2-5 V con potenciometro",0,$39.00
MO0149,Ramps 1.4 Shield Impresoras 3d,17,$199.00
MO0200,CH340 USB,18,$74.00
MO0202,Modulo Step Up DC-DC 600w,4,$690.00
MO0203,Placa con W2812,18,$50.00
MO0207,Modulo GSM GPS A9,0,$699.00
MO0208,Tarjeta amplificador de audio PAM8403 color rojo,8,$35.00
MO0209,Tarjeta ENC28J60 para arduino Nano,0,$249.00
MO0211,Modulo de 4 relevadores 30A,6,$550.00
MO0224,Transmisor Inalambrico 433 MHz SYN115,27,$69.00
SR0098,Sensor para pulsos cardiacos,1,$139.00
SR0101,Sensor de pulsos cardiacos con accesorios,6,$250.00
